work_order_id,turnaround_id,unit,discipline,job_type,work_category,on_critical_path,contractor,planned_start,planned_finish,actual_start,actual_finish,planned_hours,actual_hours,crew_size,planned_cost,actual_cost,material_cost_planned,material_cost_actual,material_ready_on_time,rework_flag,safety_standdown_hours,primary_delay_reason
WO-00070,TAR-2021-CDU,Crude Distillation Unit,Valves,Inspection,Planned,N,In-House Maintenance,2021-04-09,2021-04-13,2021-04-09,2021-04-13,55.0,57.6,11,8707.0,8982.0,2883.0,2883.0,Y,N,0.0,On Plan
WO-00071,TAR-2021-CDU,Crude Distillation Unit,Catalyst Handling,Replacement,Planned,N,Sterling TAR Contractors,2021-04-13,2021-04-16,2021-04-13,2021-04-19,46.6,99.9,13,7436.0,13633.0,2192.0,2392.0,N,Y,0.0,Material Delay
WO-00072,TAR-2021-CDU,Crude Distillation Unit,Valves,Repair,Emergent,N,In-House Maintenance,2021-05-01,2021-05-04,2021-05-02,2021-05-08,62.5,120.3,3,10357.0,17204.0,2954.0,2954.0,Y,N,0.0,Scope Growth / Discovery
WO-00073,TAR-2021-CDU,Crude Distillation Unit,Electrical,Overhaul,Planned,N,Sterling TAR Contractors,2021-04-30,2021-05-23,2021-05-01,2021-05-24,192.1,137.1,5,34117.0,27187.0,9913.0,9913.0,Y,N,0.0,On Plan
WO-00074,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Static/Vessels),Repair,Emergent,N,In-House Maintenance,2021-05-02,2021-05-10,2021-05-03,2021-05-15,121.9,176.8,12,19793.0,26225.0,5513.0,5513.0,Y,N,0.0,Scope Growth / Discovery
WO-00075,TAR-2021-CDU,Crude Distillation Unit,Civil,Repair,Planned,Y,Delta Mechanical Ltd,2021-05-03,2021-05-24,2021-05-04,2021-05-29,219.3260719187855,263.9,3,21446.0,25169.0,3131.0,3131.0,Y,N,0.0,Inspection Hold
WO-00076,TAR-2021-CDU,Crude Distillation Unit,Valves,Overhaul,Planned,N,Sterling TAR Contractors,2021-04-19,2021-04-23,2021-04-20,2021-04-25,34.0,45.1,11,5479.0,6713.0,1698.0,1698.0,Y,N,0.0,Labor Productivity
WO-00077,TAR-2021-CDU,Crude Distillation Unit,Inspection/NDT,Overhaul,Discovery,N,Delta Mechanical Ltd,2021-04-22,2021-05-01,2021-04-23,2021-05-09,86.8,157.2,6,14584.0,25247.0,1437.0,1437.0,Y,N,0.0,Scope Growth / Discovery
WO-00078,TAR-2021-CDU,Crude Distillation Unit,Inspection/NDT,Repair,Discovery,N,In-House Maintenance,2021-04-10,2021-05-17,2021-04-11,2021-06-13,353.3,603.2,8,58214.0,95625.0,6853.0,7935.0,N,N,0.0,Scope Growth / Discovery
WO-00079,TAR-2021-CDU,Crude Distillation Unit,Instrumentation,Cleaning,Planned,N,Apex Turnaround Services,2021-04-10,2021-04-24,2021-04-10,2021-04-24,134.1,125.7,2,21132.0,19988.0,2867.0,2867.0,Y,N,0.0,On Plan
WO-00080,TAR-2021-CDU,Crude Distillation Unit,Piping,Cleaning,Planned,N,Delta Mechanical Ltd,2021-04-28,2021-05-02,2021-04-28,2021-05-05,49.4,89.6,8,5920.0,9880.0,1452.0,1776.0,N,N,0.0,Material Delay
WO-00081,TAR-2021-CDU,Crude Distillation Unit,Valves,Cleaning,Discovery,Y,Northgate Industrial,2021-04-11,2021-04-16,2021-04-11,2021-04-18,44.909423738365184,58.8,9,5526.0,7037.0,643.0,643.0,Y,N,0.0,Scope Growth / Discovery
WO-00082,TAR-2021-CDU,Crude Distillation Unit,Piping,Inspection,Discovery,N,Sterling TAR Contractors,2021-05-03,2021-05-11,2021-05-04,2021-05-20,139.8,274.5,6,15936.0,29639.0,2572.0,3399.0,N,N,0.0,Scope Growth / Discovery
WO-00083,TAR-2021-CDU,Crude Distillation Unit,Scaffolding,Overhaul,Planned,Y,Delta Mechanical Ltd,2021-04-30,2021-05-08,2021-05-01,2021-05-11,129.29314003565676,156.9,10,12893.0,14832.0,3813.0,3813.0,Y,N,0.0,Inspection Hold
WO-00084,TAR-2021-CDU,Crude Distillation Unit,Catalyst Handling,Repair,Planned,N,Apex Turnaround Services,2021-04-12,2021-04-15,2021-04-12,2021-04-15,38.6,42.6,5,6079.0,6527.0,1750.0,1750.0,Y,N,0.0,Permit / Isolation Wait
WO-00085,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Rotating),Cleaning,Emergent,N,Sterling TAR Contractors,2021-04-21,2021-04-28,2021-04-21,2021-05-03,102.2,179.7,8,18644.0,29022.0,4957.0,4957.0,Y,N,0.0,Scope Growth / Discovery
WO-00086,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Rotating),Cleaning,Discovery,N,Northgate Industrial,2021-04-20,2021-05-05,2021-04-21,2021-05-14,161.0,247.5,10,29745.0,44523.0,7174.0,9826.0,N,N,0.0,Scope Growth / Discovery
WO-00087,TAR-2021-CDU,Crude Distillation Unit,Instrumentation,Overhaul,Planned,N,Apex Turnaround Services,2021-04-28,2021-05-09,2021-04-29,2021-05-11,137.9,156.1,13,21818.0,24335.0,2747.0,2747.0,Y,N,0.0,Permit / Isolation Wait
WO-00088,TAR-2021-CDU,Crude Distillation Unit,Insulation,Replacement,Planned,N,Apex Turnaround Services,2021-04-30,2021-05-05,2021-04-30,2021-05-05,105.1,105.7,12,8383.0,8427.0,790.0,790.0,Y,N,0.0,On Plan
WO-00089,TAR-2021-CDU,Crude Distillation Unit,Instrumentation,Cleaning,Planned,N,In-House Maintenance,2021-05-03,2021-05-10,2021-05-03,2021-05-10,92.3,80.8,7,15518.0,13953.0,2958.0,2958.0,Y,N,0.0,On Plan
WO-00090,TAR-2021-CDU,Crude Distillation Unit,Inspection/NDT,Repair,Planned,N,Sterling TAR Contractors,2021-04-05,2021-04-12,2021-04-05,2021-04-14,127.6,169.8,10,25314.0,31915.0,6954.0,7482.0,N,N,0.0,Material Delay
WO-00091,TAR-2021-CDU,Crude Distillation Unit,Electrical,Replacement,Planned,N,Delta Mechanical Ltd,2021-04-12,2021-04-16,2021-04-13,2021-04-17,70.1,70.2,12,10839.0,10852.0,1555.0,1555.0,Y,N,0.0,On Plan
WO-00092,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Rotating),Replacement,Discovery,N,Northgate Industrial,2021-04-06,2021-04-12,2021-04-06,2021-04-15,52.8,79.8,13,8186.0,12218.0,508.0,613.0,N,N,0.0,Scope Growth / Discovery
WO-00093,TAR-2021-CDU,Crude Distillation Unit,Piping,Cleaning,Discovery,N,Apex Turnaround Services,2021-04-27,2021-05-01,2021-04-28,2021-05-03,59.4,76.8,13,8753.0,11104.0,3039.0,3716.0,N,N,0.0,Scope Growth / Discovery
WO-00094,TAR-2021-CDU,Crude Distillation Unit,Piping,Inspection,Planned,N,In-House Maintenance,2021-04-14,2021-04-20,2021-04-14,2021-04-20,98.7,99.5,3,13000.0,13076.0,3695.0,3695.0,Y,N,0.0,On Plan
WO-00095,TAR-2021-CDU,Crude Distillation Unit,Insulation,Cleaning,Planned,N,Apex Turnaround Services,2021-05-04,2021-05-06,2021-05-04,2021-05-06,20.8,17.1,8,2578.0,2311.0,1076.0,1076.0,Y,N,0.0,On Plan
WO-00096,TAR-2021-CDU,Crude Distillation Unit,Scaffolding,Overhaul,Planned,N,Apex Turnaround Services,2021-04-14,2021-04-21,2021-04-14,2021-04-23,69.5,85.1,4,6649.0,7792.0,1553.0,1553.0,Y,N,0.0,Permit / Isolation Wait
WO-00097,TAR-2021-CDU,Crude Distillation Unit,Scaffolding,Replacement,Planned,N,In-House Maintenance,2021-04-23,2021-04-28,2021-04-24,2021-04-30,62.2,71.1,7,5464.0,6124.0,847.0,847.0,Y,N,0.0,Permit / Isolation Wait
WO-00098,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Rotating),Inspection,Discovery,N,In-House Maintenance,2021-04-08,2021-04-16,2021-04-08,2021-04-23,131.0,243.3,6,20508.0,36326.0,2227.0,2374.0,N,N,0.0,Scope Growth / Discovery
WO-00099,TAR-2021-CDU,Crude Distillation Unit,Piping,Cleaning,Planned,N,In-House Maintenance,2021-04-22,2021-04-25,2021-04-23,2021-04-26,27.3,30.7,9,3790.0,4105.0,1267.0,1267.0,Y,N,0.0,Labor Productivity
WO-00100,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Rotating),Inspection,Emergent,N,Sterling TAR Contractors,2021-04-23,2021-05-03,2021-04-24,2021-05-08,90.3,125.9,10,16077.0,20912.0,3815.0,3815.0,Y,N,0.0,Scope Growth / Discovery
WO-00101,TAR-2021-CDU,Crude Distillation Unit,Scaffolding,Overhaul,Planned,N,Delta Mechanical Ltd,2021-04-12,2021-04-15,2021-04-12,2021-04-16,40.0,55.3,13,4707.0,5777.0,1909.0,1909.0,Y,N,0.0,Inspection Hold
WO-00102,TAR-2021-CDU,Crude Distillation Unit,Mechanical (Static/Vessels),Inspection,Discovery,N,Delta Mechanical Ltd,2021-04-12,2021-04-17,2021-04-13,2021-04-20,48.1,64.8,6,8353.0,10373.0,2535.0,2535.0,Y,N,0.0,Scope Growth / Discovery
